a 阿啊腌嗄锕吖呵錒𠼞𥥩𨉚𱚱
ai 爱埃艾碍癌哀挨矮隘蔼唉皑哎霭暧嫒嗳瑷嗌锿砹叆欸毐隑㕌㗒㗨㘷㝵㝶㢊㤅㱯㶼㾢㾨㿄䀳䅬䑂䔇䔽䝽䠹䨠䬵䶣乂乃伌佁僾儗凒剴厓呃呆啀嘊噫噯堨塧壒奇娭娾嬡嵦愛懓懝捱敱敳昹曖欬溰溾濭烠焥獃璦皚皧瞹硋磑礙絠薆藹諰謁譪譺賹躷醷銰鎄鑀閡阨阸靄靉餲馤騃鯦鱫鴱𠊎𠳳𡁍𡉓𡟓𡰽𡶃𢟪𢟰𢣏𢣕𢰇𣋞𣎴𣜬𣝅𣤃𣩄𣩱𤢵𤸖𤸳𤻢𥡽𥤦𥴨𦗍𦗐𦤦𦥂𦥈𦩴𧏹𧓁𧡋𧪚𧰿𧵨𨶂𩂒𩂢𩈋𩪂𩫇𩮖𪇈𪕭𫉁𫘤
an 安案按岸暗鞍氨俺胺铵谙庵黯鹌桉埯犴唵垵盦𩽾㛺㜝㞄㟁㡋㫨㭺㱘㸩㽢䀂䅁䅖䎨䜙䢿䤃䤶䬓䮗䯥侒儑匼厂厈咹啽垾堓婩媕屽峖干广揞晻洝玵痷盒盫碪罯腤荌菴萻葊蓭裺誝諳豻貋遃鉗銨錌闇陰隌雸鞌韽頇頞馣鮟鴳鵪鶕鿷𠉬𠪚𠰑𠽪𠿑𡎑𡪁𡪙𡯏𡹼𡽜𢰍𣆛𣚖𣣚𣵱𣽥𤃷𤜁𤞿𤟉𥏮𥦍𥳬𦺽𧖮𧩸𧫥𧫧𧮍𨲊𩅝𩈴𩓤𩭢𩹎𪁟𪒠𪘒𱏋
ang 昂盎肮卬㭿㼜䀚䇦䒢䩕䭹䭺仰岇昻枊腌醃醠骯𠵫𠹃𡕉𡵙𢓋𣉗𣖮𤭒𦫫𨋕𩉰𩑝𩔘𩜟
ao 奥澳傲熬凹鳌敖遨鏖袄坳翱嗷拗懊岙螯骜獒鏊媪廒聱奡嶅璈隩㑃㕭㘬㘭㜜㜩㟼㠂㠗㤇㥿㩠㿰䆟䉛䐿䚫䜒䥝䦋䫜䫨䮯䯠䴈䵅厫嗸噢嚣囂垇墺墽奧媼嫯岰嶴慠扷抝摮擙柪梎棍泑滶澆熝燠爊獓眑磝磽礉翶翺芺蔜薁蝹襖謷謸軪郩鏕镺隞驁鰲鴁鴢鷔鼇鿫𡊛𡏼𡒃𢁱𢕟𢧴𢳆𣊁𣷫𤇯𤏶𤺾𥂢𥑑𥜌𦪈𦽀𧅃𧨲𨱧𩈏𩑍𩑤𩕀𩘮𩟇𩣻𩥊𩮯𩱏𩼈𪁾𪃨𪉑𱍛𱖎
ba 把八巴拔吧坝爸霸罢芭跋扒叭靶疤笆耙鲅粑岜灞钯捌菝魃妭朳羓胈蚆鲃鲌㔜㞎㧊㭛㭭㶚㸭㺴㿬䃻䆉䇑䈈䎬䎱䟦䥯䩗䩻䮂䯲䰾䳊䶕丷仈伯叐哱哵坺垻墢壩夿峇巼弝抜抪捭杷柭欛湃炦犮玐癹皅矲紦罷茇茷萆覇詙豝跁軷釛釟鈀颰魞鮁鮊鼥鿱𠐌𠛋𠵺𡚭𢃳𢇷𢠭𢺞𢻷𣬶𣬷𤜕𤜱𤣸𤤒𥎱𥐙𥝧𥥛𦓧𦫙𦳺𧎱𧲧𧺡𧺺𧿏𨊹𩃴𩊤𩖣𩖽𩙥𩚥𩠀𩡩𩨜𩹏𩽷𫜨
bai 百白败摆拜柏佰掰擘捭稗㓦㔥㗑㠔㧳㿟䒔䙓䠋䢙䪹䳆伯呗唄啡庍扒拝挀排擺敗栢派猈瓸竡粨粺絔罷薜薭襬贁鞁鞴韛𠟻𠫛𠮠𡏯𡭢𢈕𢛞𣧙𣺽𤁣𤙅𤽹𥬝𦣺𦣻𦩋𦳞𨃅𩋂𩎻𩏞𩑢𪡈𫖔
ban 办版半班般板颁伴搬斑扮拌扳瓣坂阪绊钣瘢癍攽昄柈湴靽𨭉㚘㢖㪵㻞䃑䈲䉽䛀䬳䰉並卑坢埿姅岅彬怑搫斒朌瓪秚籓粄絆舨蝂螁螌褩覂豳賁跘辦辨辬辯鈑鉡闆頒魬鳻𠔯𠚼𠦒𠧫𠯘𠺚𡯘𢲔𢴬𣪂𤡰𤦦𤫫𤳖𥷁𥹓𦎊𦙹𦝤𧇥𧌿𧿨𨐦𨐱𨐾𩔮𩢔𩭧𩿉𪄕𪉒𪒋
bang 帮邦榜棒膀镑绑傍磅蚌谤梆浜蒡塝搒棓玤𠳐㙃㨍㭋㮄㿶䂜䎧䖫䧛䩷䰷並嗙垹埲嫎幇幚幫彭徬捠旁牓硥稖紡綁縍艕蚄蛖蜯螃謗邫鎊鞤騯髈𠨵𠬣𠲑𡽲𢁏𢄎𢜗𢪋𢮏𢶶𢸌𣘙𣮡𣮧𤚰𤱵𥀂𦰥𦾭𨢐𩋮𩍗𩦠𩮗𱮿𲀃
bao 报保包宝暴胞薄爆饱抱堡剥鲍葆豹褒雹孢苞煲褓趵鸨龅枹㙅㙸㫧㲒㵡㻄㿺䈏䎂䤖䥤䨌䨔䪨䭋䯽䳈䳰䴐佨儤刨勹勽呆嘐嚗堢報媬嫑宲寚寳寶忁怉曓曝瀑炮珤砲窇笣緥苴菢蕔藵虣蚫袌袍裒襃賲鉋鑤铇闁靌靤飹飽駂骲髱鮑鳵鴇齙𠅬𠣒𠣺𠤏𠹕𡂟𡉩𡧖𡶄𢼌𣋳𣭀𤔣𤝧𤞥𤿈𥄹𥭓𦡕𦢊𧘑𧝘𧭤𧵢𨇅𨚔𨠖𨰦𨰻𩊅𩍂𩛞𩬽𩭼𩾡𩿓𪏶𲍹
bei 北被备倍背杯贝辈悲碑卑悖惫蓓陂钡狈呗焙碚褙鞴孛鹎邶鐾椑琲糒鞁㔗㔨㗗㛝㣁㤳㪍㫲㭭㰆㶔㷶㸢㸬㸽㻗㽡㾱䋳䎱䔒䚜䟛䟺䡶䣙䥯䩀䰽䱝俻俾偝偹備僃哱唄垻埤怫愂憊拔揹昁杮柸桮梖棑棓波牬犕狽珼盃禙箄臂苝茀菩萆萯葡藣蛽蜚襬誖諀貝跋軰輩郥鄁鉳鋇錍鐴鞞骳鵯𠋭𠐡𠢥𡋭𡥞𡰯𢂏𢃍𢴾𢻵𣎵𣖾𣝁𣬍𣬪𤜲𤰈𤳦𤵛𤷁𤷒𤹲𤿒𤿾𥏓𥶓𦈧𦈶𦩖𦮷𦾙𧉥𧋲𧶙𧼠𨚍𩇩𩔹𩖠𩚾𪱷𬇙𱽎
ben 本奔苯笨贲锛畚坌倴坋栟犇㡷㤓㨧㮥㮺䬱体喯夯夲奙捹撪桳楍泍渀炃燌獖翉蟦賁軬輽逩錛鐼𡗢𡗲𣄏𣳰𣴞𥢊𦯀𨋒𩣺𩧼𩰶𪊜𪎝𪑖𱸛
beng 泵崩蹦迸绷甭嘣甏琫祊镚㑟㔙㧍㱶㷯㼞䋽䑫䙀䨜䨻䩬䭰䳞伻俸傍傰唪嗙埄埲堋塴奟嵭平抨揼搒旁榜漨熢琣痭絣綳繃菶蚌跰逬錋鏰閍鞛𠜳𠡮𡎾𡡈𡶤𡾛𢆸𢉁𢏳𢐒𣂤𣨥𤙾𤡭𤫬𥀂𥖗𥛱𥞩𥦜𦂌𦅈𦝷𦺑𧑑𧚭𧩱𧻓𨆊𨓁𨕧𨸂𨹹𨻱𩂦𩊌𩑚𩗴𪔑𱤺
bi 比必币笔毕避闭辟壁弊彼逼碧鼻臂蔽璧庇痹毙弼匕鄙陛裨贲敝蓖吡篦俾铋毖筚荸薜婢哔跸濞秕荜愎妣芘箅庳髀畀滗狴萆嬖襞舭佖咇坒沘珌皕苾觱诐赑邲馝鲾㓖㘠㘩㙄㚰㠲㡀㡙㢰㢶㢸㧙㪏㪤㮿㯅㯇㱸㳼㵒㻫㻶㿫㿰䀣䁹䃾䄶䉾䊧䋔䌘䌟䎵䏟䏢䏶䕗䖩䘡䚜䟆䟤䠋䣥䧗䨆䩛䪐䫁䫾䬛䮠䮡䯗䵄䵗仳佊佛偪卑啚嗶埤堛夶奰妼娝媲嬶屄崥幅幣幤廦弻彃怭怶悂愊拂捭斃旇服朼枇枈柀柲梐椑楅榌檗殍毴泌波湢滭潷煏熚獘獙畁畐畢疕疪痺皀睤瞥祕禆秘稫笓筆箄箆篳粃粊紕紴綼縪繴罷罼翍聛肥肶肸胇脾腷茀萞蓽蘗虑蜌螕袐被襅襣詖豍貏貱費賁贔跛踾蹕躃躄鄨鄪鈚鉍錍鎞鏎鐴閇閈閉閟陂陴鞁鞞鞸韠飶饆馥駜驆髲魓魮鮅鮩鰏鴓鵖鶝鷝鷩鸊鼊𠈺𠋯𠐌𠓷𠛡𠡂𠦈𠧅𠨘𠩿𠬈𠮃𠽩𡚁𡛗𡠚𡳄𡻞𡽶𢁽𢅩𢍁𢐦𢖬𢘍𢞗𢟵𢡅𢩒𢲾𢳋𢴩𣁉𣁢𣋹𣔓𣕾𣘥𣚡𣝍𣢠𣥣𣦇𣦢𣩩𣭤𣮐𣯴𣴨𤂀𤅹𤐙𤗚𤙞𤜻𤝸𤠺𤡝𤢣𤵘𤷒𤹝𤹦𤻖𤽊𥆯𥈗𥏠𥛘𥟗𥢦𥳆𥴬𥷑𦀘𦂖𦑞𦔆𦠞𦤫𦭼𦯛𦰙𦱔𦳈𦸣𧏻𧒀𧓄𧓎𧝬𧤃𧥑𧫤𧲜𧳠𧼱𨅗𨋥𨋩𨐨𨚍𨚓𨟵𨠔𨲋𨳲𨵰𨸼𨻀𨻼𩉫𩊰𩏂𩑻𩣚𩧿𩪖𩪧𩭧𩯃𩲢𩾳𪋜𪌄𪍪𪏺𪐄𫵘𮤲𮩛𱅈
