a,bu 阿布 1
an,quan 安全
an,xia 按下
an,zhuang 安装
bai,du 百度
bai,se 白色
ban,ben 版本
ban,fa 办法
bang,wo 帮我
bao,chi 保持 2
bao,cuo 报错
bao,han 包含
bao,zheng 保证
bei,fen 备份
bei,jing 背景
ben,di 本地
ben,shen 本身
bi,fang 比方
bi,jiao 比较
bi,jing 毕竞
bi,ru 比如
bi,yao 必要
bian,cheng 变成
bian,cheng 编程
bian,cheng,le 变成了
bian,liang 变量
bian,xing 变形
bian,yi 编译
biao,xian 表现
bie,de 别的
bie,fang 别放
bie,nong 别弄
bie,zai,yi 别在意
bo,fang 播放
bo,li 玻璃
bu,chong 补充
bu,cuo 不错 1
bu,de,liao 不得了
bu,dong 不懂
bu,fen 部分
bu,guan 不管
bu,hui 不会
bu,jian,rong 不兼容
bu,jin 不仅
bu,neng 不能
bu,rong,yi 不容易
bu,ru 不如
bu,shi 不是
bu,shi,a 不是啊
bu,shi,yong 不使用
bu,shu 部署
bu,sun,huai 不损坏
bu,tai 不太
bu,tong 不同
bu,xiao,xin 不小心
bu,yao 不要
bu,zai 不在
cai,dan 菜单
cai,ke,yi 才可以
cai,se 彩色
cai,xing 才行
can,shu 参数
cao,zuo 操作
ce,shi 测试
cha,jian 插件
chang,shang 厂商
chao,shi 超时
cheng,gong 成功
cheng,xu 程序
chong,fu 重复
chong,qi 重启
chong,tu 冲突
chu,fa 触发
chu,lai 出来
chu,le 除了
chu,xian 出现
chuang,jian 创建
ci,ku 词库
ci,pan 磁盘 1
ci,yao 次要
ci,yu 词语
cong,na 从哪
cun,wei 存为
cuo,wu 错误
da,chu,lai 打出来
da,da,da 大大大
da,dan,du 打单独 1
da,dao 达到
da,fu 大幅
da,ge 打个
da,huo 大伙
da,kai 打开
da,xiao 大小
da,yin 打印
da,zi 打字
dai,ma 代码
dai,shang 带上
dai,ti 代替
dan,chun 单纯
dan,du 单独
dan,fan 但凡
dan,gan 单干
dan,shi 但是
dang,qian 当前
dang,ran 当然
dao,di 到底
dao,ji,shi 倒计时
dao,zhi 导致
de,dao 得到
de,hua 的话
de,lai 得来
de,le 得了
di,qu 地区
di,xia 底下
di,yi 第一
di,zhi 地址
dian,shi 电视
dian,zhen 点阵
dian,zi 点子
ding,yi 定义
ding,zhi 定制
dong,xi 东西
dou,bu,yao 都不要
dou,hui 都会
dou,mei 都没
dou,mei,you 都没有
dou,qu 都去
dou,shi 都是
dou,wu,fa 都无法
duan,kai 断开
duan,kou 端口
dui,hua 对话
duo,shao 多少
fa,chu 发出
fa,song 发送
fa,xian 发现
fan,gan 翻干
fan,wei 范围
fan,ye 翻页
fan,yue 翻阅
fang,an 方案
fang,kuai 方块
fang,shi 方式
fang,wen 访问
fei,chang 非常
fen,bian,lv 分辨率
fen,bie 分别
feng,ming 蜂鸣
feng,ming,qi 蜂鸣器
feng,shan 风扇
fu,hao 符号
fu,wu 服务
fu,wu,qi 服务器
fu,yu 赋予
fu,zhi 复制
gai,bian 改变
gai,cheng 改成
gang,gang 刚刚
gao,dong 搞懂
gao,su 告诉
gao,su,wo 告诉我
ge,ge 各个
ge,shi 格式
gei,ni 给你
gei,wo 给我
gen,ben 根本
gen,gei 跟给 1
gen,gei,ni 跟给你 1
gen,ju 根据
gen,ni 跟你
geng,ei 梗欸 1
geng,ei,ni 梗欸你 1
geng,huan 更换
geng,xiang 更像
gong,ju 工具
gong,neng 功能
gong,ying 供应
gong,zuo 工作
gu,ge 谷歌
gu,shi 古诗
gua,zai 挂载
guan,fang 官方
guan,jian 关键
guan,jian,zi 关键字
guan,wang 官网
guan,xi 关系
guang,qu 光驱
gui,fan 规范
guo,du 国度
guo,lai 过来
hai,ke,yi 还可以
hai,shi 还是
hai,xing 还行
hai,you 还有
han,hua 汉化
han,yi 含义
hao,de 好的
hao,jin 耗尽
hao,qi 好奇
hao,xiang 好像
he,shi 合适
he,xian 核显
hei,se 黑色
hen,hao 很好
hen,liang 很亮
hen,shao 很少
hen,shen 很深
hong,lv,lan 红绿蓝
hou,xuan 候选
hou,zhui 后缀
hu,lian 互连
hua,yu 话语
huai,diao 坏掉
huan,hang 换行
huan,jing 环境
hui,che 回车
hui,chu,xian 会出现
hui,da 回答
hui,fu 回复
hui,fu 恢复
hui,fu,wo 回复我
hui,se 灰色
hui,tui 回退
hui,you 会有
huo,de 获得
huo,qu 获取
huo,zhe 或者
ji,ben 基本
ji,chu 基础
ji,de 记得
ji,ge 几个
ji,ke 极客
ji,tian 几天
ji,xu 继续
jia,ge 价格
jia,mi 加密
jia,ru 假如
jia,shang 加上
jian,ce 检测
jian,cha 检查
jian,dan 简单 5
jian,dan,de 简单的 3
jian,dan,dian 简单点 1
jian,duan 简短
jian,pan 键盘
jian,rong 兼容
jian,wei 键位
jiang,di 降低
jiao,cheng 教程
jiao,sheng 叫声
jiao,wo 叫我
jiao,yue 皎月
jie,dian 节点
jie,gou 结构
jie,jin 接近
jie,jue 解决
jie,kou 接口
jie,lun 结论
jie,mian 界面
jie,shao 介绍
jin,liang 尽量
jin,ru 进入
jin,tian 今天 1
jin,xing 进行
jin,yong 禁用
jing,gao 警告
jing,guo 经过
jiu,hui 就会
jiu,hui,zhe,yang 就会这样
jiu,nei,rong 旧内容
jiu,shi 就是
jiu,xing 就行
jiu,zai 就在
ju,ti 具体
jue,de 觉得
jue,ding 决定
ka,si 卡死
kai,ji 开机
kai,qi 开启
kai,shi 开始
kai,shi,xuan,ze 开始选择
kai,yuan 开源
kan,bu,jian 看不见
kan,dao 看到
kan,jian 看见
kan,zhe 看着
kao,pu 靠谱
ke,hu 客户
ke,hu,duan 客户端
ke,hu,ji 客户机
ke,neng 可能
ke,peng 磕碰
ke,xi 可惜
ke,yi 可以
ke,yi,shu,chu 可以输出
ke,yong 可用
kong,ge 空格
kong,jian 空间
kong,zhi 控制
kong,zhi,fu 控制符
kong,zhi,tai 控制台
kuai,jie 快捷
kuai,jie,jian 快捷键
kuai,su 快速
kuo,zhan 扩展
lai,shuo 来说
lai,zi 来自
lei,si 类似
li,hai 厉害
li,jie 理解
li,shi 历史
li,te 利特
lian,gan 连杆
lian,jie 连接
lian,jie 链接
lian,xu 连续
liang,chan 量产
liang,ge 两个
liang,tai 两台
lin,shi 临时
liu,chang 流畅
liu,lan 浏览
liu,lan,qi 浏览器
liu,liang 流量
lv,se 绿色
ma,tou 马头 1
mao,pao 冒泡
mei,ci 每次
mei,dong 没懂
mei,fa 没法
mei,ge 每个
mei,you 没有
mei,you,ba 没有吧
mi,you 米游
mian,ban 面板
ming,chao 明朝
ming,chao 鸣潮
ming,cheng 名称
ming,ling 命令
ming,zi 名字
mo,di 末地
mo,di,zhu 末地烛
mo,fang 模仿
mo,kuai 模块
mo,ni 模拟
mo,ren 默认
mo,shi 模式 1
mo,shi 模式 1
mo,xing 模型
mou,xie 某些
mu,biao 目标
mu,lu 目录
mu,qian 目前
na,ge 哪个
na,ge 那个
na,lai 哪来
na,me 那么
na,ni 那你
na,pa 哪怕
na,wo 那我
na,xie 哪些
na,xie 那些
na,yige 哪一个
na,zhong 那种
nan,beng 难绷
nan,bu,nan 难不难
nan,du 难度
nan,gua 南瓜
nei,cun 内存
nei,rong 内容
nei,wang 内网
neng,bu,neng 能不能
neng,li 能力
ni,fen,xi 你分析
ni,hao 你好
ni,hao,a 你好啊
ni,kan,kan 你看看
ni,ke,yi 你可以
ni,ma 你妈
ni,neng 你能
ni,shuchu 你输出
ni,shuo 你说
ni,zhe,ge 你这个
niu,fu 牛福 1
niu,mo 牛魔
pai,xu 排序
pan,duan 判断
pei,zhi 配置
pi,zhun 批准
pian,pian 偏偏
pin,yin 拼音
pin,yin,shu,ru,fa 拼音输入法
ping,bao 屏保
ping,mu 屏幕
po,huai 破坏
pu,tong 普通
qi,dong 启动
qi,guai 奇怪
qi,guai,de 奇怪的
qi,lai 起来
qi,ta 其他
qi,yong 启用
qi,yu 其余
qian,gua 牵挂
qian,hui 浅灰
qiang,diao 强调
qing,kong 清空
qing,kuang 情况
qing,wen 请问
qiu,sheng 求生
qu,bie 区别
qu,dong 驱动
quan,bu 全部
que,shi 确实
ran,hou 然后
ren,gong 人工
ren,he 任何
ren,lei 人类
rong,yi 容易
ru,guo 如果
ru,guo,wo 如果我
ru,he 如何
ruan,jian 软件
san,re 散热
sha,bi 傻逼
sha,de 啥的
shan,chu 删除 5
shan,diao 删掉
shan,le 删了
she,ji 设计
she,zhi 设置
she,zhi,le 设置了
shen,me 什么
shen,me,dou,bu 什么都不
shen,me,yong 什么用
sheng,pi,zi 生僻字
sheng,shi 省事
sheng,xiao 生效
sheng,yin 声音
shi,bai 失败
shi,bie 识别
shi,bu,shi 是不是
shi,fou 是否
shi,guo 试过
shi,he 适合
shi,hou 时候
shi,jie 世界
shi,le 试了
shi,qing 事情
shi,shi 试试
shi,wo 是我
shi,xian 实现
shi,yi,xia 试一下
shi,yong 使用
shi,yong 是用
shi,zai 实在
shi,zhe 试着
shi,zhe 试者
shi,zheng 时政
shou,dao 收到
shou,dong 手动
shou,hu 守护
shou,ming 寿命
shou,xian 受限
shu,biao 鼠标
shu,chu 输出
shu,chu,yi,xie 输出一些
shu,ru 输入 1
shu,ru,fa 输入法 1
shu,zi 数字
shun,bian 顺便
shuo,hua 说话
shuo,yi,xie 说一些
sou,suo 搜索
suan,fa 算法
suan,le 算了
sui,bian 随便
sui,bian,tian 随便填
sui,dao 隧道
sui,ran 虽然
sun,huai 损坏
suo,lve 缩略
suo,yi 所以
tai,yuan 太远
ti,gong 提供
ti,gong,zhe 提供者
ti,huan 替换
ti,shi 提示
tian,chong 填充
tian,jia 添加
tian,qi 天气 1
tiao,shi 调试 2
ting,zhi 停止
tong,shi 同时
tong,yong 通用
tu,pian 图片
tu,xing 图形
tu,zi 兔子
tui,chu 退出
wan,jia 玩家
wan,quan 完全
wang,luo 网络
wang,ye 网页
wang,zhi 网址
wei,li 为例
wei,ruan 微软
wei,shen,me 为什么
wen,ben 文本
wen,dang 文档
wen,jian 文件
wen,jian,jia 文件夹
wen,ti 问题
wen,zi 文字
wo,cao 卧槽
wo,cao 我草
wo,chao 我超 1
wo,de 我的
wo,de 我的 1
wo,ji,de 我记得
wo,jiu,shi 我就是
wo,jue,de 我觉得
wo,le 卧勒
wo,mei 我没
wo,men 我们
wo,neng 我能
wo,pa 我怕
wo,ri 我日
wo,ru,guo 我如果
wo,shi 我是
wo,shu,chu 我输出
wo,shuo 我说
wo,wen 我问
wo,xian 我先
wo,xian,zai 我现在
wo,xiang 我想
wo,yao 我要
wo,yong 我用
wo,zai 我在
wo,zhun,bei 我准备
wu,fa 无法
wu,lun 无论
wu,tou 无头
xi,huan 喜欢
xi,tong 系统
xi,wang 希望
xia,la,kuang 下拉框
xia,mian 下面
xia,shuo 瞎说
xia,yi,ge 下一个
xian,ka 显卡
xian,shi 显示
xian,shi,qi 显示器
xian,xiang 显像
xian,xiang,guan 显像管
xian,zai 现在
xian,zhi 限制
xiang,guan 相关
xiang,hu 相互
xiang,mu 项目
xiao,guo 效果
xiao,hao 消耗
xiao,xi 消息
xie,gang 斜杠
xie,ru 写入
xie,xie 谢谢
xie,yi,ge 写一个
xin,hao 信号
xin,jian 新建
xin,jian,wen,jian,jia 新建文件夹
xin,xi 信息
xing,neng 性能
xing,wei 行为
xiu,fu 修复
xiu,fu,nan,du 修复难度
xu,duo 许多
xu,ni 虚拟
xu,yao 需要
xuan,ran 渲染
xuan,xiang 选项
xuan,ze 选择
xuan,zhong 选中
xue,xi 学习
yan,se 颜色
yan,zheng 验证
yang,sheng,qi 扬声器
ye,xing 也行
yi,ban 一般
yi,ban,lai,shuo 一般来说
yi,ci 一次
yi,ci 依次
yi,duan 一段
yi,ge 一个
yi,gong 一共
yi,hou,yu,jian 以后遇见
yi,ji 以及
yi,jing 已经
yi,ju 依据
yi,si 意思
yi,sou 一搜
yi,sou 一艘
yi,tai 一台
yi,wen 疑问
yi,xia 一下
yi,xie 一些
yi,yi 意义
yi,zhi 一直
yin,wei 因为
ying,gai 应该
ying,guang 荧光
ying,guang,fen 荧光粉
ying,pan 硬盘 1
ying,wei,da 英伟达
ying,yong 应用
yong,de 用的
yong,hu 用户
yong,lai 用来
you,dian 有点
you,ge 有个
you,hui 又会
you,mei,you 有没有
you,shi 又是
you,shuo 又说
you,wo 由我
you,xian 优先
you,xiao 有效
you,yi,tai 有一台
you,you 又有
yu,yan 语言
yuan,ben 原本
yuan,sheng 原生
yuan,su 元素
yuan,yin 原因
yun,xing 运行
yun,xu 允许
za,ban 咋办
zai,ci 在此
zai,na 在哪
zai,na 在那
zan,shi 暂时
zen,me 怎么
zen,me,yang 怎么样
zhan,tie 粘贴
zhan,yong 占用
